tSchool;Schooljaar;slaagpct;examenkandidaten;geslaagden;ce_gem;se_gem;se_ce_verschil;ce_gem_duo;ce_grieks;ce_latijn;percentiel_slaag;percentiel_ce;percentiel_se;pct_wo;pct_hbo;pct_geen_bekostigd;totaal_gediplomeerden;leerlingen_totaal;leerlingen_groei_pct;pct_zittenblijvers;n_zittenblijvers;pct_afstromers;tevredenheid_ll;tevredenheid_ouders;sfeer;veiligheid;inspectie_oordeel;inspectie_obsnelheid_3jr;inspectie_bbsucces_3jr;inspectie_ce_3jr;inspectie_sece_3jr;inspectie_advies_3jr;leerling_leraar_ratio;fte_totaal;fte_onderwijzend;pct_schaal_lc;pct_schaal_ld;gem_loonsom_op;verzuimpct;meldfrequentie;brugjaar_bevorderd_pct;brugjaar_uitval_pct;n_examenvakken;has_grieks;has_latijn;n_deelnemers_grieks;n_deelnemers_latijn;klassieke_talen_deelname_pct;ses_woa;inkomen_gem_pctgrp;pct_inkomen_p80_100;vermogen_gem_pctgrp;welvaart_gem_pctgrp;pct_koopwoning;stedelijkheid;pct_migratie;pct_niet_westers;leefbaarheid;leefb_onveiligheid;leefb_sociaal;solvabiliteit;weerstandsvermogen;kapitalisatiefactor;eenpitter;pct_atheneum;gemengd;pct_meisjes;pct_natuur;afstroom_jongens;afstroom_meisjes
27. 42505-20DP-000;23-24;95,0;141;134;6,96;6,88;-0,08;7,01;6,6;6,7;85,0;82,0;85,0;67,2;3,7;29,1;134;833;-5,2;3,8;33;0,7;6,6;8,3;7,8;9,3;voldoende;97,11;94,83;6,78;0,07;1,9;;;;;;;6,1;1,6;0,0;100,0;19;1;1;50;93;101,4;0,24;58,1;30,4;58,3;59,8;57,6;1,6;27,7;14,1;4,197;0,034;-0,011;74,7;49,0;59,6;0;0,0;0;48,1;58,0;100,0;100,0
27. 42505-20DP-000;24-25;93,1;130;121;6,85;6,93;0,08;6,77;6,2;6,3;68,0;63,0;85,0;;;;;756;-9,2;2,4;20;;;;;;voldoende;97,11;94,83;6,78;0,07;1,9;;;;;;;;;;;19;1;1;49;98;113,1;0,24;58,1;30,4;58,3;59,8;57,6;1,6;27,7;14,1;4,197;0,034;-0,011;74,7;49,0;59,6;0;0,0;0;46,2;61,8;0,0;0,0
27. 42505-30GD-000;21-22;100,0;144;144;6,93;7,08;0,09;6,92;6,07;5,79;;;;69,4;4,2;26,4;144;898;;3,2;30;0,4;6,7;;7,8;9,3;voldoende;98,16;95,91;7,04;-0,05;1,15;18,7;53,4;46,4;21,7;77,1;5626,0;9,1;1,9;93,8;6,2;22;1;1;98;49;102,1;0,25;59,1;31,6;59,4;60,9;60,1;1,9;26,1;12,2;4,2;0,031;-0,006;74,7;49,0;59,6;0;0,0;0;44,0;65,1;3,8;2,3
27. 42505-30GD-000;22-23;91,4;116;106;7,04;7,05;-0,05;7,03;6,59;5,86;;;;67,9;1,9;30,2;106;869;-3,2;2,5;22;;6,5;;7,6;9,3;voldoende;98,16;95,91;7,04;-0,05;1,15;21,6;45,5;41,3;21,4;77,2;6204,0;9,8;1,5;90,1;9,9;22;1;1;63;57;103,4;0,25;59,1;31,6;59,4;60,9;60,1;1,9;26,1;12,2;4,2;0,031;-0,006;74,7;49,0;59,6;0;0,0;0;44,3;64,1;4,3;3,9
27. 42505-30GD-000;23-24;91,6;155;142;6,98;6,79;-0,19;6,97;6,5;6,4;60,0;80,0;63,0;62,0;2,8;35,2;142;893;2,8;3,2;28;;6,2;8,4;7,5;9,3;voldoende;98,16;95,91;7,04;-0,05;1,15;;;;;;;7,1;1,6;0,0;100,0;20;1;1;58;105;105,2;0,25;59,1;31,6;59,4;60,9;60,1;1,9;26,1;12,2;4,2;0,031;-0,006;74,7;49,0;59,6;0;0,0;0;44,1;62,9;100,0;100,0
27. 42505-30GD-000;24-25;92,0;125;115;6,79;6,79;0,0;6,82;5,9;6,2;58,0;70,0;54,0;;;;;787;-11,9;2,9;26;1,1;;;;;voldoende;98,16;95,91;7,04;-0,05;1,15;;;;;;;;;;;19;1;1;54;77;104,8;0,25;59,1;31,6;59,4;60,9;60,1;1,9;26,1;12,2;4,2;0,031;-0,006;74,7;49,0;59,6;0;0,0;0;45,0;67,6;0,0;0,0
28. 41211-17JY-000;21-22;94,9;117;111;6,45;6,63;0,08;6,45;6,49;4,83;;;;74,8;9,9;15,3;111;682;;5,6;41;1,4;;;8,1;;voldoende;93,76;93,53;6,82;-0,22;13,46;14,9;59,4;44,2;23,6;55,8;5237,0;4,4;1,2;90,8;9,2;21;1;1;36;86;104,3;0,24;58,9;29,5;62,5;61,8;67,5;3,4;14,8;6,5;4,222;0,064;0,03;36,1;34,9;44,4;0;0,0;0;41,3;53,6;4,8;3,5
28. 41211-17JY-000;22-23;93,9;98;92;6,82;6,72;-0,22;6,82;5,74;6,17;;;;72,8;7,6;18,5;92;656;-3,8;4,9;34;0,7;6,7;;7,8;;voldoende;93,76;93,53;6,82;-0,22;13,46;15,2;58,0;43,1;29,9;54,2;5782,0;4,9;1,0;80,0;20,0;21;1;1;36;66;104,1;0,24;58,9;29,5;62,5;61,8;67,5;3,4;14,8;6,5;4,222;0,064;0,03;36,1;34,9;44,4;0;0,0;0;38,7;52,9;5,0;3,5
28. 41211-17JY-000;23-24;95,2;104;99;6,78;6,7;-0,08;6,79;6,9;6,0;85,0;44,0;44,0;59,6;13,1;26,3;99;657;0,2;7,9;52;;6,7;8,4;7,9;9,2;voldoende;93,76;93,53;6,82;-0,22;13,46;;;;;;;4,3;1,0;0,0;100,0;18;1;1;45;59;100,0;0,24;58,9;29,5;62,5;61,8;67,5;3,4;14,8;6,5;4,222;0,064;0,03;36,1;34,9;44,4;0;0,0;0;39,0;55,4;100,0;100,0
28. 41211-17JY-000;24-25;91,2;80;73;6,78;6,92;0,14;6,79;6,8;6,4;49,0;65,0;75,0;;;;;634;-3,5;7,0;46;0,9;;;;;voldoende;93,76;93,53;6,82;-0,22;13,46;;;;;;;;;;;18;1;1;26;59;106,2;0,24;58,9;29,5;62,5;61,8;67,5;3,4;14,8;6,5;4,222;0,064;0,03;36,1;34,9;44,4;0;0,0;0;38,0;63,3;0,0;0,0
