tSchool;Schooljaar;Profiel;Geslacht;Examenkandidaten;Geslaagden;Slaagpercentage
05. 13556-21AF-000;23-24;N&T/E&M;Vrouw;0;0;0.0
05. 13556-21AF-000;23-24;N&T/N&G;Man;28;27;96.4
05. 13556-21AF-000;23-24;N&T/N&G;Vrouw;30;28;93.3
05. 13556-21AF-000;24-25;C&M;Man;6;6;100.0
05. 13556-21AF-000;24-25;C&M;Vrouw;11;9;81.8
05. 13556-21AF-000;24-25;E&M/C&M;Man;21;20;95.2
05. 13556-21AF-000;24-25;E&M/C&M;Vrouw;6;6;100.0
05. 13556-21AF-000;24-25;N&G;Vrouw;14;13;92.9
05. 13556-21AF-000;24-25;N&G/C&M;Man;0;0;0.0
05. 13556-21AF-000;24-25;N&G/C&M;Vrouw;0;0;0.0
05. 13556-21AF-000;24-25;N&G/E&M;Vrouw;0;0;0.0
05. 13556-21AF-000;24-25;N&T;Man;0;0;0.0
05. 13556-21AF-000;24-25;N&T/E&M;Man;0;0;0.0
05. 13556-21AF-000;24-25;N&T/E&M;Vrouw;0;0;0.0
05. 13556-21AF-000;24-25;N&T/N&G;Man;36;33;91.7
05. 13556-21AF-000;24-25;N&T/N&G;Vrouw;22;21;95.5
06. 42818-20QU-000;21-22;C&M;Vrouw;6;6;100.0
06. 42818-20QU-000;21-22;E&M/C&M;Man;14;11;78.6
06. 42818-20QU-000;21-22;E&M/C&M;Vrouw;14;13;92.9
06. 42818-20QU-000;21-22;N&G;Man;11;10;90.9
06. 42818-20QU-000;21-22;N&G;Vrouw;6;6;100.0
06. 42818-20QU-000;21-22;N&G/E&M;Man;0;0;0.0
06. 42818-20QU-000;21-22;N&G/E&M;Vrouw;0;0;0.0
06. 42818-20QU-000;21-22;N&T;Man;5;5;100.0
06. 42818-20QU-000;21-22;N&T/N&G;Man;12;12;100.0
06. 42818-20QU-000;21-22;N&T/N&G;Vrouw;18;17;94.4
06. 42818-20QU-000;22-23;C&M;Vrouw;7;;57.1
06. 42818-20QU-000;22-23;E&M;Man;5;;80.0
06. 42818-20QU-000;22-23;E&M;Vrouw;0;0;0.0
06. 42818-20QU-000;22-23;E&M/C&M;Man;22;18;81.8
06. 42818-20QU-000;22-23;E&M/C&M;Vrouw;10;7;70.0
06. 42818-20QU-000;22-23;N&G;Man;12;10;83.3
06. 42818-20QU-000;22-23;N&G;Vrouw;11;8;72.7
06. 42818-20QU-000;22-23;N&G/E&M;Man;0;0;0.0
06. 42818-20QU-000;22-23;N&G/E&M;Vrouw;0;0;0.0
06. 42818-20QU-000;22-23;N&T/N&G;Man;15;15;100.0
06. 42818-20QU-000;22-23;N&T/N&G;Vrouw;11;10;90.9
06. 42818-20QU-000;23-24;C&M;Man;0;0;0.0
